,x,y,distance,id,label
325440,2.1422637002901743e-16,-3.498582124710083,3.498582124710083,904,0
325441,0.061083422530492586,-3.4994669330473696,3.5,904,0
325442,0.12214823845875378,-3.497867894566835,3.5,904,0
325443,0.1831758468503039,-3.495203371641008,3.5,904,0
325444,0.2441476581044383,-3.4914741759093846,3.5,904,0
325445,0.3050450996168035,-3.486681443321109,3.5,904,0
325446,0.3658496214367871,-3.4808266337889564,3.5,904,0
325447,0.42654270191801613,-3.473911530744627,3.5,904,0
325448,0.4871058533602292,-3.4659382405954964,3.5,904,0
325449,0.5475206276408082,-3.456909192082982,3.5,904,0
325450,0.6077686218342564,-3.4468271355427285,3.5,904,0
325451,0.6678314838179072,-3.435695142066824,3.5,904,0
325452,0.7276909178621581,-3.4235166025683195,3.5,904,0
325453,0.7873286902035272,-3.4102952267483237,3.5,904,0
325454,0.8467266345988369,-3.3960350419659875,3.5,904,0
325455,0.9058666578588226,-3.380740392011739,3.5,904,0
325456,0.9647307453594972,-3.3644159357841166,3.5,904,0
325457,1.0233009665295787,-3.3470666458706235,3.5,904,0
325458,1.081559480312316,-3.3286978070330373,3.5,904,0
325459,1.058563550531923,-3.0742917781659505,3.2514345645904537,904,0
325460,1.0651004146368206,-2.926339338666419,3.114145278930664,904,0
325461,1.0706626808880662,-2.7891716419572496,2.98760724067688,904,0
325462,1.079688266522154,-2.6723222342568134,2.882192373275757,904,0
325463,1.0820749040977136,-2.5492087228171094,2.769359350204468,904,0
325464,1.0908418499516763,-2.4500709095051705,2.681936502456665,904,0
325465,1.0929711161082392,-2.3438841224111755,2.586189985275269,904,0
325466,1.0991204073917522,-2.2535307936335105,2.5072827339172363,904,0
325467,1.1028648650602624,-2.164494170319791,2.4292685985565186,904,0
325468,1.1009536976391447,-2.0705927562708424,2.3450913429260254,904,0
325469,1.1056239118607458,-1.9945983363667887,2.280532121658325,904,0
325470,1.1100180149078371,-1.9226075991371208,2.220036029815674,904,0
325471,1.1113803268585565,-1.849647475078708,2.157860517501831,904,0
325472,1.1137314797617486,-1.78234294314271,2.1017003059387207,904,0
325473,1.1133727699235796,-1.714443720070515,2.0442397594451904,904,0
325474,1.118441002240174,-1.6581569755055523,2.000098705291748,904,0
325475,1.1179122356051845,-1.5965441309921653,1.9490205049514768,904,0
325476,1.12027841157917,-1.5419309515917337,1.9059314727783203,904,0
325477,1.1186849332927506,-1.4845450477509183,1.8588517904281616,904,0
325478,1.1213854355085937,-1.4353079046424158,1.8214318752288816,904,0
325479,1.1222964880545359,-1.3859207418878208,1.7833467721939087,904,0
