,0
0,inf
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
10,1.4142135623730951
11,1.4142135623730951
6,3.0
7,1.7320508075688772
8,1.4142135623730951
9,1.4142135623730951
12,1.4142135623730951
13,1.4142135623730951
14,1.4142135623730951
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.4142135623730951
21,0.0
22,0.0
23,0.0
24,0.0
26,1.4142135623730951
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,0.0
33,0.0
34,0.0
35,0.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
42,1.0
44,1.0
45,1.4142135623730951
46,1.4142135623730951
47,1.4142135623730951
48,1.0
50,1.0
51,1.0
52,1.0
55,1.4142135623730951
57,1.0
58,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,1.0
65,1.0
66,1.0
67,0.0
68,0.0
69,0.0
70,0.0
71,1.0
72,0.0
73,0.0
74,0.0
75,0.0
76,1.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.4142135623730951
82,1.0
83,1.0
84,1.0
85,1.0
86,1.4142135623730951
87,1.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
100,1.7320508075688772
101,1.4142135623730951
102,1.4142135623730951
103,1.4142135623730951
104,1.4142135623730951
105,1.4142135623730951
106,1.4142135623730951
107,1.4142135623730951
108,1.0
109,1.0
110,1.0
111,1.7320508075688772
112,1.7320508075688772
113,1.7320508075688772
114,1.7320508075688772
115,1.7320508075688772
116,1.4142135623730951
117,1.0
118,1.0
119,1.0
120,1.4142135623730951
121,1.4142135623730951
122,1.7320508075688772
123,1.7320508075688772
124,1.7320508075688772
129,1.7320508075688772
125,1.7320508075688772
126,1.7320508075688772
127,1.7320508075688772
128,1.7320508075688772
130,1.7320508075688772
131,2.0
132,2.23606797749979
133,2.23606797749979
134,1.0
135,1.0
136,1.0
137,1.0
41,4.242640687119285
49,4.358898943540674
59,4.358898943540674
98,5.656854249492381
99,5.656854249492381
43,6.782329983125268
25,3.7416573867739413
53,3.7416573867739413
54,3.7416573867739413
56,3.7416573867739413
139,9.643650760992955
138,2.23606797749979
140,2.23606797749979
141,2.23606797749979
142,2.23606797749979
143,2.23606797749979
144,3.1622776601683795
145,3.1622776601683795
146,3.1622776601683795
147,3.1622776601683795
148,3.1622776601683795
149,3.1622776601683795
150,3.1622776601683795
152,3.1622776601683795
153,3.0
154,2.23606797749979
155,2.23606797749979
156,2.23606797749979
158,2.23606797749979
159,2.0
160,2.0
164,2.449489742783178
162,2.6457513110645907
163,2.6457513110645907
161,3.0
165,3.1622776601683795
166,3.1622776601683795
169,4.0
168,3.872983346207417
170,3.872983346207417
171,3.872983346207417
175,3.872983346207417
174,3.4641016151377544
172,3.1622776601683795
173,3.1622776601683795
176,3.1622776601683795
177,3.4641016151377544
178,3.4641016151377544
179,3.4641016151377544
180,3.1622776601683795
181,3.1622776601683795
182,3.1622776601683795
183,3.1622776601683795
184,3.3166247903554
185,3.3166247903554
188,3.4641016151377544
186,3.4641016151377544
187,3.4641016151377544
189,3.4641016151377544
190,3.4641016151377544
191,3.605551275463989
192,3.605551275463989
196,3.872983346207417
193,3.7416573867739413
195,3.7416573867739413
197,3.7416573867739413
198,3.605551275463989
199,3.4641016151377544
200,3.4641016151377544
194,3.872983346207417
203,3.872983346207417
204,3.3166247903554
205,3.3166247903554
206,3.3166247903554
207,3.3166247903554
201,3.7416573867739413
202,3.7416573867739413
208,4.358898943540674
209,4.242640687119285
210,3.7416573867739413
211,3.3166247903554
212,3.3166247903554
213,3.3166247903554
214,3.3166247903554
215,4.358898943540674
216,4.358898943540674
217,4.358898943540674
218,3.605551275463989
219,3.605551275463989
220,3.7416573867739413
221,3.4641016151377544
222,3.4641016151377544
223,3.4641016151377544
224,3.3166247903554
225,3.3166247903554
226,3.3166247903554
227,3.3166247903554
228,4.358898943540674
229,4.358898943540674
230,4.358898943540674
234,4.242640687119285
235,2.23606797749979
236,2.23606797749979
237,2.23606797749979
238,2.23606797749979
239,2.23606797749979
240,2.23606797749979
231,2.8284271247461903
232,2.8284271247461903
233,2.8284271247461903
241,3.1622776601683795
242,3.1622776601683795
243,3.1622776601683795
244,4.0
245,4.0
246,4.0
247,3.605551275463989
248,3.605551275463989
249,4.898979485566356
250,4.795831523312719
251,4.795831523312719
252,3.7416573867739413
253,3.7416573867739413
254,3.7416573867739413
255,2.23606797749979
256,2.23606797749979
257,2.0
258,2.0
259,2.23606797749979
260,2.23606797749979
261,2.449489742783178
262,2.449489742783178
263,4.358898943540674
264,4.358898943540674
265,4.358898943540674
266,4.69041575982343
267,4.69041575982343
268,4.69041575982343
269,4.242640687119285
270,4.123105625617661
271,4.123105625617661
272,4.123105625617661
273,4.123105625617661
275,4.47213595499958
276,4.47213595499958
277,4.47213595499958
278,4.69041575982343
279,4.58257569495584
280,4.123105625617661
281,3.872983346207417
282,3.872983346207417
283,3.872983346207417
284,3.872983346207417
285,3.872983346207417
151,7.0
157,7.14142842854285
167,7.3484692283495345
274,9.746794344808963
286,11.269427669584644
287,6.082762530298219
288,6.0
289,5.830951894845301
290,5.830951894845301
291,5.830951894845301
292,5.830951894845301
293,6.4031242374328485
294,6.4031242374328485
295,6.708203932499369
296,5.830951894845301
297,5.0990195135927845
298,5.0990195135927845
299,5.0990195135927845
300,6.0
301,6.0
302,6.0
303,6.164414002968976
304,5.385164807134504
305,5.385164807134504
306,5.196152422706632
307,5.196152422706632
308,5.196152422706632
309,5.196152422706632
310,5.830951894845301
311,5.196152422706632
312,5.196152422706632
313,5.0990195135927845
314,5.0990195135927845
315,5.196152422706632
316,5.196152422706632
317,5.196152422706632
318,5.0990195135927845
319,5.0990195135927845
320,5.196152422706632
321,5.291502622129181
322,5.196152422706632
323,5.0990195135927845
324,5.0990195135927845
325,6.0
326,5.5677643628300215
327,5.196152422706632
328,5.0990195135927845
329,5.0990195135927845
332,5.477225575051661
333,1.7320508075688772
334,1.7320508075688772
335,1.4142135623730951
336,1.4142135623730951
337,3.1622776601683795
338,3.1622776601683795
339,3.1622776601683795
340,3.1622776601683795
341,4.0
331,4.242640687119285
342,4.242640687119285
330,4.47213595499958
343,5.0990195135927845
344,5.0990195135927845
346,5.0990195135927845
347,5.196152422706632
353,5.0
354,1.7320508075688772
355,1.7320508075688772
356,1.7320508075688772
357,1.7320508075688772
358,1.7320508075688772
350,4.358898943540674
351,4.358898943540674
348,4.47213595499958
349,4.47213595499958
359,5.0
360,5.0
361,5.0
367,5.0
369,4.47213595499958
370,3.872983346207417
371,3.872983346207417
377,3.872983346207417
375,3.1622776601683795
374,3.1622776601683795
376,3.1622776601683795
378,3.1622776601683795
379,3.1622776601683795
380,3.3166247903554
373,3.605551275463989
372,3.7416573867739413
386,3.872983346207417
387,2.6457513110645907
388,2.6457513110645907
389,2.23606797749979
390,2.23606797749979
393,2.23606797749979
394,3.0
395,3.0
396,3.0
397,3.0
392,3.1622776601683795
391,3.3166247903554
400,3.3166247903554
401,3.0
404,3.0
405,3.0
406,3.0
407,3.0
